org_id,site_id,fuel_month,fuel_type,quantity,unit,source_document
ORG001,ORG001-TPE,2025-01,diesel,900,liter,fuel-ORG001-TPE-2025-01-diesel
ORG001,ORG001-TPE,2025-01,natural_gas,1500,m3,fuel-ORG001-TPE-2025-01-ng
ORG001,ORG001-TPE,2025-02,diesel,880,liter,fuel-ORG001-TPE-2025-02-diesel
ORG001,ORG001-TPE,2025-02,natural_gas,1480,m3,fuel-ORG001-TPE-2025-02-ng
ORG001,ORG001-TPE,2025-03,diesel,910,liter,fuel-ORG001-TPE-2025-03-diesel
ORG001,ORG001-TPE,2025-03,natural_gas,1520,m3,fuel-ORG001-TPE-2025-03-ng
ORG001,ORG001-TPE,2025-04,diesel,930,liter,fuel-ORG001-TPE-2025-04-diesel
ORG001,ORG001-TPE,2025-04,natural_gas,1600,m3,fuel-ORG001-TPE-2025-04-ng
ORG001,ORG001-TPE,2025-05,diesel,950,liter,fuel-ORG001-TPE-2025-05-diesel
ORG001,ORG001-TPE,2025-05,natural_gas,1650,m3,fuel-ORG001-TPE-2025-05-ng
ORG001,ORG001-TPE,2025-06,diesel,980,liter,fuel-ORG001-TPE-2025-06-diesel
ORG001,ORG001-TPE,2025-06,natural_gas,1700,m3,fuel-ORG001-TPE-2025-06-ng
ORG001,ORG001-TPE,2025-07,diesel,1000,liter,fuel-ORG001-TPE-2025-07-diesel
ORG001,ORG001-TPE,2025-07,natural_gas,1780,m3,fuel-ORG001-TPE-2025-07-ng
ORG001,ORG001-TPE,2025-08,diesel,990,liter,fuel-ORG001-TPE-2025-08-diesel
ORG001,ORG001-TPE,2025-08,natural_gas,1760,m3,fuel-ORG001-TPE-2025-08-ng
ORG001,ORG001-TPE,2025-09,diesel,960,liter,fuel-ORG001-TPE-2025-09-diesel
ORG001,ORG001-TPE,2025-09,natural_gas,1680,m3,fuel-ORG001-TPE-2025-09-ng
ORG001,ORG001-TPE,2025-10,diesel,940,liter,fuel-ORG001-TPE-2025-10-diesel
ORG001,ORG001-TPE,2025-10,natural_gas,1620,m3,fuel-ORG001-TPE-2025-10-ng
ORG001,ORG001-TPE,2025-11,diesel,920,liter,fuel-ORG001-TPE-2025-11-diesel
ORG001,ORG001-TPE,2025-11,natural_gas,1550,m3,fuel-ORG001-TPE-2025-11-ng
ORG001,ORG001-TPE,2025-12,diesel,905,liter,fuel-ORG001-TPE-2025-12-diesel
ORG001,ORG001-TPE,2025-12,natural_gas,1510,m3,fuel-ORG001-TPE-2025-12-ng
ORG001,ORG001-TNN,2025-01,diesel,520,liter,fuel-ORG001-TNN-2025-01-diesel
ORG001,ORG001-TNN,2025-01,natural_gas,1100,m3,fuel-ORG001-TNN-2025-01-ng
ORG001,ORG001-TNN,2025-02,diesel,500,liter,fuel-ORG001-TNN-2025-02-diesel
ORG001,ORG001-TNN,2025-02,natural_gas,1080,m3,fuel-ORG001-TNN-2025-02-ng
ORG001,ORG001-TNN,2025-03,diesel,530,liter,fuel-ORG001-TNN-2025-03-diesel
ORG001,ORG001-TNN,2025-03,natural_gas,1120,m3,fuel-ORG001-TNN-2025-03-ng
