org_id,site_id,bill_month,kwh,demand_kw,currency,cost_ntd,source_document
ORG001,ORG001-TPE,2025-01,42000,180,NTD,151200,bill-ORG001-TPE-2025-01
ORG001,ORG001-TPE,2025-02,39800,176,NTD,143280,bill-ORG001-TPE-2025-02
ORG001,ORG001-TPE,2025-03,41050,179,NTD,147780,bill-ORG001-TPE-2025-03
ORG001,ORG001-TPE,2025-04,43500,184,NTD,156600,bill-ORG001-TPE-2025-04
ORG001,ORG001-TPE,2025-05,44800,188,NTD,161280,bill-ORG001-TPE-2025-05
ORG001,ORG001-TPE,2025-06,46200,194,NTD,166320,bill-ORG001-TPE-2025-06
ORG001,ORG001-TPE,2025-07,48800,205,NTD,175680,bill-ORG001-TPE-2025-07
ORG001,ORG001-TPE,2025-08,48100,201,NTD,173160,bill-ORG001-TPE-2025-08
ORG001,ORG001-TPE,2025-09,45500,190,NTD,163800,bill-ORG001-TPE-2025-09
ORG001,ORG001-TPE,2025-10,43200,183,NTD,155520,bill-ORG001-TPE-2025-10
ORG001,ORG001-TPE,2025-11,41800,180,NTD,150480,bill-ORG001-TPE-2025-11
ORG001,ORG001-TPE,2025-12,40600,177,NTD,146160,bill-ORG001-TPE-2025-12
ORG001,ORG001-TNN,2025-01,21500,96,NTD,77400,bill-ORG001-TNN-2025-01
ORG001,ORG001-TNN,2025-02,20800,94,NTD,74880,bill-ORG001-TNN-2025-02
ORG001,ORG001-TNN,2025-03,22000,98,NTD,79200,bill-ORG001-TNN-2025-03
ORG001,ORG001-TNN,2025-04,23200,101,NTD,83520,bill-ORG001-TNN-2025-04
ORG001,ORG001-TNN,2025-05,24100,104,NTD,86760,bill-ORG001-TNN-2025-05
ORG001,ORG001-TNN,2025-06,25600,109,NTD,92160,bill-ORG001-TNN-2025-06
ORG001,ORG001-TNN,2025-07,26800,113,NTD,96480,bill-ORG001-TNN-2025-07
ORG001,ORG001-TNN,2025-08,26300,112,NTD,94680,bill-ORG001-TNN-2025-08
ORG001,ORG001-TNN,2025-09,24900,106,NTD,89640,bill-ORG001-TNN-2025-09
ORG001,ORG001-TNN,2025-10,23600,102,NTD,84960,bill-ORG001-TNN-2025-10
ORG001,ORG001-TNN,2025-11,22400,99,NTD,80640,bill-ORG001-TNN-2025-11
ORG001,ORG001-TNN,2025-12,21800,97,NTD,78480,bill-ORG001-TNN-2025-12
ORG002,ORG002-TXG,2025-01,30500,138,NTD,109800,bill-ORG002-TXG-2025-01
ORG002,ORG002-TXG,2025-02,29800,136,NTD,107280,bill-ORG002-TXG-2025-02
ORG002,ORG002-TXG,2025-03,31200,140,NTD,112320,bill-ORG002-TXG-2025-03
ORG002,ORG002-TXG,2025-04,32600,143,NTD,117360,bill-ORG002-TXG-2025-04
ORG002,ORG002-TXG,2025-05,34000,147,NTD,122400,bill-ORG002-TXG-2025-05
ORG002,ORG002-TXG,2025-06,35200,151,NTD,126720,bill-ORG002-TXG-2025-06
ORG002,ORG002-TXG,2025-07,36600,156,NTD,131760,bill-ORG002-TXG-2025-07
ORG002,ORG002-TXG,2025-08,35900,154,NTD,129240,bill-ORG002-TXG-2025-08
ORG002,ORG002-TXG,2025-09,34300,148,NTD,123480,bill-ORG002-TXG-2025-09
ORG002,ORG002-TXG,2025-10,33100,145,NTD,119160,bill-ORG002-TXG-2025-10
ORG002,ORG002-TXG,2025-11,31800,141,NTD,114480,bill-ORG002-TXG-2025-11
ORG002,ORG002-TXG,2025-12,30900,139,NTD,111240,bill-ORG002-TXG-2025-12
ORG003,ORG003-HSZ,2025-01,52000,220,NTD,187200,bill-ORG003-HSZ-2025-01
ORG003,ORG003-HSZ,2025-02,50500,216,NTD,181800,bill-ORG003-HSZ-2025-02
ORG003,ORG003-HSZ,2025-03,53600,224,NTD,192960,bill-ORG003-HSZ-2025-03
ORG003,ORG003-HSZ,2025-04,55800,231,NTD,200880,bill-ORG003-HSZ-2025-04
ORG003,ORG003-HSZ,2025-05,58600,238,NTD,210960,bill-ORG003-HSZ-2025-05
ORG003,ORG003-HSZ,2025-06,61200,246,NTD,220320,bill-ORG003-HSZ-2025-06
ORG003,ORG003-HSZ,2025-07,64800,258,NTD,233280,bill-ORG003-HSZ-2025-07
ORG003,ORG003-HSZ,2025-08,63500,254,NTD,228600,bill-ORG003-HSZ-2025-08
ORG003,ORG003-HSZ,2025-09,60200,243,NTD,216720,bill-ORG003-HSZ-2025-09
ORG003,ORG003-HSZ,2025-10,57400,235,NTD,206640,bill-ORG003-HSZ-2025-10
ORG003,ORG003-HSZ,2025-11,54800,228,NTD,197280,bill-ORG003-HSZ-2025-11
ORG003,ORG003-HSZ,2025-12,52900,222,NTD,190440,bill-ORG003-HSZ-2025-12

